iter	MultiClass
0	1.293143016
1	1.21540371
2	1.149153266
3	1.091987914
4	1.041581238
5	0.9971336202
6	0.9579653384
7	0.9227696585
8	0.8914176713
9	0.862873941
10	0.8372762511
11	0.814005534
12	0.7931668575
13	0.773733046
14	0.7559360267
15	0.7398515357
16	0.7249525876
17	0.7112961289
18	0.6989595359
19	0.6876860461
20	0.6773889835
21	0.6673499338
22	0.6584716189
23	0.650179858
24	0.6424201899
25	0.6351493851
26	0.6285543033
27	0.6224172368
28	0.6165056925
29	0.6109108868
30	0.6058840414
31	0.6012282234
32	0.5965863497
33	0.5926558202
34	0.5889863367
35	0.5851703599
36	0.5817896474
37	0.5787777548
38	0.5757464734
39	0.5731504278
40	0.5705985913
41	0.5683674045
42	0.5661391774
43	0.5639601327
44	0.5624646851
45	0.5606967865
46	0.5588266476
47	0.5574610383
48	0.5558729032
49	0.5543591168
50	0.5529382739
51	0.5518388322
52	0.5505368898
53	0.5494587309
54	0.5484341828
55	0.5473465159
56	0.5463644471
57	0.5454576017
58	0.5447130856
59	0.5440098223
60	0.5432756448
61	0.5425014357
62	0.5417781944
63	0.5411345874
64	0.5404529235
65	0.5398423661
66	0.5392027514
67	0.5385604412
68	0.5380498616
69	0.5374991595
70	0.5370203084
71	0.5365004213
72	0.5360807866
73	0.5356542518
74	0.5352410886
75	0.5348235501
76	0.5344803513
77	0.5340694384
78	0.5337236859
79	0.5333881415
80	0.5329915287
81	0.5327071221
82	0.5324420437
83	0.5321661321
84	0.5318865708
85	0.5316637849
86	0.5314142434
87	0.5311860664
88	0.530948352
89	0.53074045
90	0.5305220824
91	0.5303443526
92	0.5301611675
93	0.5300092763
94	0.5297685292
95	0.5296240671
96	0.5294472532
97	0.5292856475
98	0.5291094063
99	0.528922683
100	0.5287949969
101	0.5286074099
102	0.5284625238
103	0.5282897721
104	0.5281180626
105	0.5279549595
106	0.5278511894
107	0.5277411299
108	0.5276325826
109	0.5275222269
110	0.5273033243
111	0.5271909171
112	0.5270068066
113	0.5268822269
114	0.5267626734
115	0.5266461064
116	0.5265561591
117	0.5264517153
118	0.5263329413
119	0.5262452021
120	0.5261525598
121	0.5260900157
122	0.5260370443
123	0.5259482248
124	0.5258266962
125	0.5256980544
126	0.5256041542
127	0.5254444905
128	0.5252893947
129	0.5251733526
130	0.5250216352
131	0.5249249562
132	0.5248470718
133	0.5247646625
134	0.5246511708
135	0.5245116557
136	0.524391549
137	0.5243154566
138	0.5241734281
139	0.524070484
140	0.524038611
141	0.5239819599
142	0.5239116746
143	0.5237794829
144	0.5236553132
145	0.5235741526
146	0.52348542
147	0.5233822904
148	0.5232590449
149	0.5231871501
150	0.5231148457
151	0.523105004
152	0.5229650861
153	0.5228873994
154	0.5228332796
155	0.5227652103
156	0.5226773142
157	0.5226302881
158	0.5225457252
159	0.5225114059
160	0.5224535099
161	0.5223938536
162	0.5223168371
163	0.5221710365
164	0.5221101439
165	0.5219962347
166	0.5219386808
167	0.5218845163
168	0.5218006402
169	0.5217749381
170	0.5217343216
171	0.5216791995
172	0.5216062067
173	0.5215534822
174	0.5214712288
175	0.5214043649
176	0.5213099498
177	0.5212193485
178	0.5211513317
179	0.5210859983
180	0.5210141208
181	0.5209828757
182	0.5209011068
183	0.5208337725
184	0.5207648968
185	0.520706945
186	0.5206545183
187	0.5205992018
188	0.5205332578
189	0.5204858212
190	0.5204218969
191	0.5203353498
192	0.5202966214
193	0.5202524986
194	0.5202213933
195	0.5201646165
196	0.5201130243
197	0.5200388263
198	0.5199752561
199	0.5198913046
200	0.5198123217
201	0.5197515434
202	0.51968999
203	0.5196329423
204	0.5195549702
205	0.5194686678
206	0.5193817606
207	0.5193378829
208	0.5192281044
209	0.519153914
210	0.5191066149
211	0.5190559663
212	0.5189994632
213	0.5189642398
214	0.5189415575
215	0.5188661023
216	0.5187995572
217	0.5187664281
218	0.5187255215
219	0.5186622985
220	0.518564522
221	0.5185517261
222	0.5184491191
223	0.5183834076
224	0.5183260177
225	0.518230767
226	0.5181101401
227	0.5180680545
228	0.5180011211
229	0.5179395298
230	0.5179014463
231	0.5178570633
232	0.51782341
233	0.5177748127
234	0.5177321685
235	0.5176900657
236	0.5175938299
237	0.5174990474
238	0.5174707379
239	0.5173919437
240	0.5173369561
241	0.5172807371
242	0.517229881
243	0.5171453841
244	0.5170992707
245	0.5170759412
246	0.5170471421
247	0.5169949737
248	0.5169425396
249	0.5169066514
250	0.5168671476
251	0.5168359137
252	0.5167479905
253	0.5166963265
254	0.5166313289
255	0.5166090725
256	0.5165754938
257	0.5165060423
258	0.5164109054
259	0.5163785679
260	0.5163036011
261	0.5162498828
262	0.5162094844
263	0.5161736876
264	0.5161513799
265	0.5160865291
266	0.5160709035
267	0.5159775064
268	0.5159187647
269	0.515896085
270	0.5157732739
271	0.515648069
272	0.5156206942
273	0.5155568401
274	0.5154958867
275	0.5154505988
276	0.5153828041
277	0.5153122144
278	0.5152390035
279	0.5151696897
280	0.5151073628
281	0.5150656261
282	0.5149913291
283	0.5149759797
284	0.5149298133
285	0.5148941244
286	0.5148270975
287	0.5147724544
288	0.5146808242
289	0.5146189978
290	0.5146056606
291	0.514504235
292	0.5144403903
293	0.5143737213
294	0.5143412949
295	0.5142970959
296	0.5142486903
297	0.5142049508
298	0.5141232687
299	0.5140464632
300	0.5139811645
301	0.5139295996
302	0.5138821133
303	0.5138072636
304	0.5137842313
305	0.5136617951
306	0.5136194674
307	0.5135267191
308	0.5134014742
309	0.5133417113
310	0.5132789265
311	0.5132278857
312	0.5131888808
313	0.5131357551
314	0.5130365441
315	0.51300467
316	0.5129617693
317	0.5128898542
318	0.5128404019
319	0.5127961936
320	0.5127403358
321	0.5126765901
322	0.5126492119
323	0.5126052864
324	0.5125474566
325	0.5125246465
326	0.512477257
327	0.5124595232
328	0.5124033093
329	0.512290475
330	0.5122172464
331	0.5121904773
332	0.5121481494
333	0.5120651345
334	0.5120453878
335	0.5120032863
336	0.5119637691
337	0.5119015409
338	0.5118646319
339	0.5117962211
340	0.5117403684
341	0.5117252017
342	0.5116790535
343	0.5115931955
344	0.5115279162
345	0.5114737727
346	0.5114228627
347	0.5114013984
348	0.5113614749
349	0.5113329709
350	0.5113126764
351	0.5112594447
352	0.5112273189
353	0.5111828525
354	0.5111411412
355	0.5111120738
356	0.5110151568
357	0.5109267795
358	0.5108928735
359	0.5108354949
360	0.5107771048
361	0.5107295351
362	0.5106493176
363	0.510580758
364	0.5105310181
365	0.5104920663
366	0.5104425072
367	0.5103715703
368	0.5103371026
369	0.5103013228
370	0.510267663
371	0.510185533
372	0.5101285305
